Ticker,2015,2016,2017,2018,2019,2020,2021
US1.ADBE,0.09,0.0,0.0,0.0,0.106,0.0,0.0
US1.AMZN,0.0,0.0,0.0,0.0,0.006,0.092,0.0
US1.CSCO,0.0,0.0,0.0,0.062,0.0,0.0,0.0
US1.DIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1.INTC,0.008,0.0,0.0,0.0,0.0,0.0,0.0
US1.JNJ,0.0,0.0,0.0,0.0,0.0,0.0,0.03
US1.KO,0.14,0.0,0.034,0.008,0.0,0.002,0.054
US1.MSFT,0.0,0.0,0.0,0.008,0.064,0.0,0.468
US1.PEP,0.0,0.0,0.432,0.008,0.002,0.0,0.132
US1.PFE,0.208,0.0,0.012,0.0,0.0,0.0,0.0
US1.PG,0.004,0.0,0.0,0.0,0.0,0.0,0.0
US1.PM,0.0,0.016,0.002,0.0,0.0,0.0,0.0
