Ticker;2015;2016;2017;2018;2019;2020;2021
US1.AAPL;-6,11;-6,55;-3,84;-6,57;-10,03;-74,21;-4,13
US1.ADBE;-5,85;-8,28;-6,16;-8,04;-4,59;-14,52;-10,22
US1.AMZN;-6,29;-7,85;-3,56;-7,84;-5,38;-7,94;-7,46
US1.CSCO;-5,93;-5,07;-7,21;-5,35;-8,69;-11,19;-5,6
US1.DIS;-9,21;-5,23;-4,42;-5,33;-4,98;-12,99;-7,01
US1.INTC;-4,82;-9,22;-3,52;-8,63;-8,96;-17,83;-11,69
US1.JNJ;-3,25;-3,28;-3,18;-10,14;-6,22;-7,18;-3,52
US1.KO;-2,88;-4,83;-2,08;-4,03;-8,42;-9,66;-3,85
US1.MSFT;-9,31;-7,2;-3,79;-5,34;-3,72;-14,84;-3,63
US1.NFLX;-86,05;-13,13;-5,57;-9,4;-10,32;-11,73;-7,43
US1.NKE;-50,95;-5,03;-7,05;-6,81;-6,66;-11,67;-6,21
US1.NVDA;-7,42;-6,88;-9,28;-18,82;-13,86;-18,15;-75,23
US1.PEP;-4,65;-3,72;-2,03;-3,78;-2,8;-11,59;-2,77
US1.PFE;-4,08;-3,05;-1,82;-5,25;-6,36;-8,02;-5,11
US1.PG;-3,94;-3,34;-3,72;-4,25;-3,85;-8,61;-3,97
US1.PM;-3,28;-4,1;-3,86;-15,56;-7,7;-12,46;-4,74
US1.TSLA;-8,86;-10,45;-7,09;-13,9;-13,67;-77,49;-11,96
